POINT_X,POINT_Y,AGB_T_HA_2018,AGB_T_HA_2010,AGB_T_HA_SD_2018,AGB_T_HA_SD_2010
-54.98579709,-3.10622788,5.461905293,61.68159909,12.71937143,40.73979356
-54.98579709,-3.10532388,5.461414973,61.73569812,12.71880665,40.74660341
-54.98489809,-3.13063588,0.72200065,0.61236443,5.109961689,4.55647979
-54.98489809,-3.12973188,4.028811601,0.582030784,11.46728979,4.620180534
-54.98489809,-3.12882788,6.92978189,1.017206657,14.25775809,5.766635622
-54.98489809,-3.12792388,5.527215012,0.685759425,12.81309709,4.744077204
-54.98489809,-3.12701988,4.902856537,0.758866442,12.28065043,5.323302836
-54.98489809,-3.12611588,4.608379873,3.462451991,12.00490073,11.30365583
-54.98489809,-3.12521188,1.200523902,37.60468827,6.629282611,32.4704905
-54.98489809,-3.12430788,1.045763161,103.6477531,6.120602839,52.74513886
-54.98489809,-3.12340388,7.517674812,99.35242877,14.93560025,51.44739017
-54.98489809,-3.12249988,18.78849053,126.7771992,23.48126075,58.23045294
-54.98489809,-3.12159588,76.41538788,130.0328696,46.03291718,61.32648012
-54.98489809,-3.12069188,31.77140051,41.29228344,29.56194144,33.81395042
-54.98489809,-3.11978788,27.52584678,97.34700802,30.44186385,50.98696988
-54.98489809,-3.11888388,1.386710047,89.9794457,8.669317123,49.1602972
-54.98489809,-3.11797988,0.148704599,75.61468336,2.28862654,45.32238735
-54.98489809,-3.11707588,0.150374829,79.77638844,2.302043114,46.200959
-54.98489809,-3.11617188,0.163018842,72.06893317,2.390482402,43.94201279
-54.98489809,-3.11526788,0.166873319,84.25440405,2.417408001,47.41259532
-54.98489809,-3.11436388,0.191936922,89.31001058,2.58460023,48.96003385
-54.98489809,-3.11345988,0.234345038,46.40764131,2.843209299,35.73999647
-54.98489809,-3.11255588,0.234372848,60.43989287,2.953972772,40.56514383
-54.98489809,-3.11165188,1.7995789,25.3057493,8.630563267,26.71693648
-54.98489809,-3.11074788,24.77591818,61.47867714,27.0368565,41.12326648
-54.98489809,-3.10984388,93.90549206,170.7166237,50.62888775,67.43142182
-54.98489809,-3.10893988,149.8902291,216.9094205,63.17697546,76.15914895
-54.98489809,-3.10803588,131.8971814,208.349109,61.12598436,75.15949438
-54.98489809,-3.10713188,12.88444671,66.92183517,19.26290916,42.51948916
-54.98489809,-3.10622788,9.833619497,65.79456634,16.85161085,42.00788949
-54.98489809,-3.10532388,9.842008588,65.80213355,16.85436847,42.0101259
-54.98399909,-3.13063588,0.516124922,0.942268464,4.943501602,5.604018737
-54.98399909,-3.12973188,8.605831259,2.789617322,16.08124012,9.801662107
-54.98399909,-3.12882788,12.68874058,1.736134014,19.27419046,7.438047078
-54.98399909,-3.12792388,4.860497128,0.938245681,12.35020596,5.632044712
-54.98399909,-3.12701988,1.012452379,0.274680981,7.0707654,4.197057856
-54.98399909,-3.12611588,11.47303218,6.802225967,19.12834547,14.73496309
-54.98399909,-3.12521188,0.957032975,35.28942342,5.56371604,31.21620151
-54.98399909,-3.12430788,0.590490426,75.2477838,4.664097661,44.98061576
-54.98399909,-3.12340388,4.370128954,97.16813383,11.64798891,50.90847469
-54.98399909,-3.12249988,15.46405221,139.6196848,22.00049404,60.90469521
-54.98399909,-3.12159588,111.9882511,140.0318621,54.69467321,61.0105957
-54.98399909,-3.12069188,85.45680523,135.753635,49.5695237,61.26052744
-54.98399909,-3.11978788,10.88522521,83.59336081,20.21300953,47.32447398
-54.98399909,-3.11888388,0.173992101,50.05916295,2.599166434,36.98722457
-54.98399909,-3.11797988,0.157335307,66.06257834,2.350330903,42.0965088
-54.98399909,-3.11707588,0.156818205,67.17962193,2.346735225,42.45197315
-54.98399909,-3.11617188,0.171273889,71.67405441,2.447167596,43.80194715
-54.98399909,-3.11526788,0.16994853,77.34815582,2.438237552,45.53293484
-54.98399909,-3.11436388,0.154600551,47.83614956,2.331847826,36.13637729
-54.98399909,-3.11345988,0.155650175,43.85225346,2.342179014,34.53345934
-54.98399909,-3.11255588,0.545088665,29.45653716,8.085848152,28.61422157
-54.98399909,-3.11165188,25.73019762,27.79903802,28.34078358,27.70192294
-54.98399909,-3.11074788,69.26482903,25.61111014,43.36011391,27.13248126
-54.98399909,-3.10984388,82.59281438,88.52858502,47.04257784,48.86986779
-54.98399909,-3.10893988,139.4206387,172.281607,60.8863878,67.72530677
-54.98399909,-3.10803588,102.2941501,186.1804429,54.4858809,71.08874837
-54.98399909,-3.10713188,5.928876182,47.43243679,13.35248658,35.97111743
-54.98399909,-3.10622788,15.41321725,21.38253978,20.88273144,24.52442338
-54.98399909,-3.10532388,15.42387632,21.29721711,20.88666418,24.44736128
-54.98310009,-3.13063588,0.320117573,1.862484264,3.442406811,7.706956144
-54.98310009,-3.12973188,2.310725933,1.521521423,9.494655222,7.189546852
-54.98310009,-3.12882788,14.26042288,6.75038237,20.8267114,14.94247019
-54.98310009,-3.12792388,1.354087268,0.769507372,6.930283451,5.075038018
-54.98310009,-3.12701988,0.625318898,0.191144663,4.686464501,2.732573206
-54.98310009,-3.12611588,3.558654489,1.913007466,10.89188793,8.940435882
-54.98310009,-3.12521188,1.146935529,22.2356104,6.060357017,25.26150333
-54.98310009,-3.12430788,0.788790508,67.68348528,5.24394538,42.60391689
-54.98310009,-3.12340388,5.04060635,61.0828531,12.64973415,40.90399092
-54.98310009,-3.12249988,30.48600508,138.9431415,29.49225187,60.755202
-54.98310009,-3.12159588,89.42078182,124.2715986,48.87009908,57.49988238
-54.98310009,-3.12069188,77.07928567,163.07891,48.89593011,66.60910648
-54.98310009,-3.11978788,2.267274699,38.72224248,9.088976915,32.8912777
-54.98310009,-3.11888388,0.196129738,63.53700659,2.612427708,41.36003676
-54.98310009,-3.11797988,0.194076182,47.52673394,2.599207191,35.9240767
-54.98310009,-3.11707588,0.155921934,42.48364409,2.340187474,34.11619915
-54.98310009,-3.11617188,0.148919124,67.4570272,2.290248866,42.52513982
-54.98310009,-3.11526788,0.165728519,72.35102529,2.409280747,44.04677976
-54.98310009,-3.11436388,0.146650194,47.22122092,2.27292132,35.75949624
-54.98310009,-3.11345988,0.184639251,53.70914097,2.838769256,38.22251389
-54.98310009,-3.11255588,3.873953414,22.4439324,13.16624369,25.09054345
